geoid,all_vmt_hh,hh,carownership_expense_hh,driving_cost_year,vehicle,average_veh,veh_hh,transitcost_hh,medincome,totpop,rent_cost,housing_mortgage,ave_housing_yearly,ave_housing_monthly,combined H+T
484530022111,17592.585974347356,999.0,9040.395,3196.151191521677,2099.0,2.1,2.101101101101101,0.0,75719.0,3069.0,1319.0,1699.0,19365.537537537537,1613.7947947947946,31602.083729059214
484530022121,11451.3990941171,365.0,9040.395,2080.444734652513,777.0,2.1,2.128767123287671,70.01213825512818,83958.0,1452.0,1823.0,1539.0,18897.501369863014,1574.7917808219177,30088.353242770656
484530023041,11172.566918983515,535.0,2398.78,2152.392232659525,635.0,1.0,1.1869158878504673,76.8398152893544,52443.0,874.0,1346.0,0.0,16152.0,1346.0,20780.01204794888
484530023042,6245.778937163906,1478.0,5488.619999999999,1066.1688975020977,1957.0,1.7,1.324086603518268,45.1040132902073,90532.0,2384.0,1762.0,1384.0,20981.342354533157,1748.445196211096,27581.23526532546
484530023043,6596.255904518444,454.0,2398.78,1270.7670561718817,0.0,1.0,0.0,75.86548021037879,50381.0,942.0,1248.0,0.0,14778.079295154184,1231.5066079295154,18523.491831536445
484530023071,9128.010790688812,550.0,2398.78,1758.5090040613898,800.0,1.0,1.4545454545454546,117.16655864514335,71379.0,1077.0,1204.0,1833.0,16877.083636363634,1406.4236363636362,21151.53919907017
484530023072,2900.053407725617,1445.0,2398.78,558.694566284532,1584.0,1.0,1.0961937716262975,60.74319261581528,45272.0,2766.0,1138.0,1110.0,13628.79446366782,1135.7328719723182,16647.01222256817
484530023073,5352.975379382009,304.0,3691.95,972.5073199554286,638.0,1.5,2.098684210526316,197.35973183761104,72750.0,1011.0,1074.0,1226.0,13523.999999999996,1126.9999999999998,18385.817051793034
484530023074,4977.953941558967,477.0,2398.78,959.0015863000264,817.0,1.0,1.7127882599580713,44.25614609418594,49712.0,1093.0,1253.0,1839.0,16878.767295597485,1406.5639412997905,20280.805027991697
484530023081,8250.077549189644,625.0,2398.78,1589.3753838737446,641.0,1.0,1.0256,172.43685251636958,85946.0,1251.0,0.0,1444.0,5905.3824,492.1152,10065.974636390114
484530023082,7021.032600215783,534.0,5488.619999999999,1198.5064892638395,848.0,1.7,1.5880149812734083,139.402934459303,62016.0,1061.0,1574.0,2081.0,21064.112359550563,1755.3426966292134,27890.641783273706
484530023083,7065.295669791703,482.0,2398.78,1361.1274500637503,0.0,1.0,0.0,258.17212807772324,20500.0,1898.0,999.0,0.0,11739.286307053942,978.2738589211618,15757.365885195417
484530023084,11988.454874800867,1043.0,3691.95,2178.0148972112734,0.0,1.5,0.0,47.9365280270324,53672.0,2257.0,1207.0,0.0,13692.44870565676,1141.0373921380633,19610.350130895065
484530023101,44340.33846118316,210.0,3691.95,8055.57669644655,312.0,1.5,1.4857142857142858,142.85085352055657,40000.0,561.0,738.0,979.0,10357.085714285717,863.0904761904762,22247.463264252823
484530023102,16774.678357087967,623.0,5488.619999999999,2863.4763589711465,1325.0,1.7,2.126805778491172,0.0,44261.0,2329.0,1134.0,1131.0,13588.295345104336,1132.357945425361,21940.391704075482
484530023121,3210.787311710821,476.0,3691.95,583.323094570122,568.0,1.5,1.1932773109243695,37.34662837138733,0.0,1083.0,913.0,1451.0,14401.008403361344,1200.0840336134452,18713.628126302854
484530023122,3667.744030680318,955.0,3691.95,666.3411775249431,1695.0,1.5,1.774869109947644,77.94886596991394,37679.0,3335.0,1113.0,1276.0,14269.48272251309,1189.123560209424,18705.722766007948
484530023123,11411.671405233668,1245.0,3691.95,2073.227165822875,2046.0,1.5,1.6433734939759037,54.43758541122503,51441.0,4172.0,1316.0,1996.0,18282.602409638555,1523.5502008032129,24102.217160872657
484530023131,10381.657988308843,1164.0,2398.78,2000.023824265146,1375.0,1.0,1.1812714776632305,227.175946893134,46618.0,2260.0,1138.0,1596.0,14227.319587628866,1185.609965635739,18853.299358787146
484530023132,12815.91314449515,915.0,3691.95,2328.344231311115,1045.0,1.5,1.1420765027322404,0.0,39097.0,2329.0,1093.0,1750.0,14132.734426229508,1177.727868852459,20153.02865754062
484530023141,3239.6795377374115,273.0,3691.95,588.5721195159288,278.0,1.5,1.0183150183150182,0.0,0.0,538.0,1297.0,0.0,15564.0,1297.0,19844.52211951593
484530023142,8523.590995728628,1049.0,2398.78,1642.0676811879955,1402.0,1.0,1.336510962821735,116.50795171150148,62113.0,1917.0,1257.0,2716.0,18572.247855100097,1547.6873212583412,22729.603487999593
484530023143,426.7664997657247,382.0,3691.95,77.5332437605642,545.0,1.5,1.4267015706806283,84.34765347490686,58594.0,765.0,1127.0,0.0,13524.0,1127.0,17377.83089723547
484530023144,5398.327200864457,716.0,2398.78,1039.9863899452414,973.0,1.0,1.3589385474860336,119.4857387454686,41439.0,2172.0,1221.0,0.0,14652.0,1221.0,18210.25212869071
484530023151,5453.804438028857,725.0,2398.78,1050.6740658596434,866.0,1.0,1.1944827586206896,229.87493669974617,36993.0,1504.0,1141.0,1275.0,14195.470344827583,1182.9558620689654,17874.799347386972
484530023152,3176.146880529688,754.0,2398.78,611.8839050157914,1000.0,1.0,1.326259946949602,128.1994839287046,38176.0,1450.0,1036.0,0.0,12432.0,1036.0,15570.863388944497
484530023161,10928.975944388874,716.0,3691.95,1985.53297040608,0.0,1.5,0.0,183.10801522032853,43315.0,1444.0,997.0,0.0,11780.195530726258,981.6829608938548,17640.786516352666
484530023162,3852.473835312719,815.0,2398.78,742.1781243092846,0.0,1.0,0.0,222.21243880975464,30068.0,1853.0,1065.0,0.0,12529.104294478526,1044.0920245398772,15892.274857597566
484530023163,5214.087118419843,589.0,2398.78,1004.4925839762174,750.0,1.0,1.2733446519524618,43.386129818542926,39980.0,1290.0,1168.0,0.0,14016.0,1168.0,17462.65871379476
484530023171,5422.482740715344,1762.0,2398.78,1044.6399486777837,0.0,1.0,0.0,557.4228033706672,38683.0,5233.0,899.0,0.0,10053.289443813848,837.7741203178206,14054.1321958623
484530023172,5849.71210700102,393.0,2398.78,1126.9455796241411,719.0,1.0,1.8295165394402035,1014.939765047098,25709.0,1348.0,981.0,0.0,11772.0,981.0,16312.665344671239
484530023181,3519.518625143024,1916.0,2398.78,678.0343860448847,2590.0,1.0,1.3517745302713988,278.92532115733815,40133.0,4848.0,891.0,1330.0,11368.371607515655,947.3643006263048,14724.111314717878
484530023182,1966.7052743644856,766.0,9040.395,357.3032080217081,1366.0,2.1,1.783289817232376,91.37978880557796,58929.0,2367.0,939.0,1412.0,13957.801566579636,1163.150130548303,23446.879563406925
484530023191,492.0129883718052,,0.0,0.0,,,0.0,0.0,0.0,2368.0,0.0,0.0,0.0,0.0,0.0
484530024021,7923.617169785945,529.0,5488.619999999999,1352.5797610082268,895.0,1.7,1.6918714555765595,0.0,69063.0,1160.0,1776.0,1639.0,20096.869565217392,1674.7391304347827,26938.069326225617
484530024022,9772.233845805687,1007.0,5488.619999999999,1668.1428994421544,1580.0,1.7,1.5690168818272094,139.02069160888323,71250.0,2381.0,1218.0,1381.0,15569.719960278057,1297.4766633565046,22865.503551329093
484530024023,5187.417996732179,282.0,3691.95,942.42951180414,657.0,1.5,2.3297872340425534,0.0,102778.0,1002.0,1956.0,1471.0,21160.510638297877,1763.3758865248228,25794.890150102015
484530024024,10716.047504654516,2057.0,3691.95,1946.8489766283503,2959.0,1.5,1.4385026737967914,64.81646246273834,61788.0,3971.0,1278.0,1464.0,15494.421001458437,1291.2017501215362,21198.036440549527
484530024031,8398.446549545703,472.0,5488.619999999999,1433.6342333828036,740.0,1.7,1.5677966101694916,127.11304762422408,68036.0,1210.0,1213.0,2041.0,21713.28813559322,1809.4406779661017,28762.655416600246
484530024032,11838.333461989016,621.0,5488.619999999999,2020.83087832793,1129.0,1.7,1.818035426731079,0.0,70982.0,1533.0,1524.0,1667.0,19161.198067632853,1596.7665056360709,26670.648945960784
484530024071,24075.41546241181,2360.0,9040.395,4373.925921338096,4715.0,2.1,1.9978813559322035,45.195750266390775,74740.0,5874.0,1417.0,2153.0,21330.183050847456,1777.5152542372882,34789.699722451944
484530024072,29568.56959186408,342.0,9040.395,5371.900360210344,0.0,2.1,0.0,0.0,102216.0,789.0,0.0,1819.0,20934.45614035088,1744.5380116959066,35346.75150056122
484530024091,6981.5309322845815,416.0,5488.619999999999,1191.763463266377,910.0,1.7,2.1875,0.0,81453.0,1047.0,0.0,1738.0,16644.69230769231,1387.0576923076924,23325.075770958683
484530024092,4128.792217803508,522.0,3691.95,750.1025821741172,955.0,1.5,1.829501915708812,63.854149083262826,76481.0,1276.0,1484.0,0.0,10712.09195402299,892.6743295019157,15217.99868528037
484530024093,4570.0528405736,512.0,5488.619999999999,780.1185804973711,1020.0,1.7,1.9921875,75.95151717130285,64740.0,1263.0,1596.0,1530.0,18542.53125,1545.2109375,24887.221347668674
484530024101,5713.447373365325,1034.0,3691.95,1037.996441040864,1551.0,1.5,1.5,60.17358110902448,57321.0,2461.0,1251.0,1250.0,15008.50676982592,1250.7088974854933,19798.62679197581
484530024102,8138.303696539046,796.0,5488.619999999999,1389.2272472288716,1311.0,1.7,1.6469849246231156,27.916135528863645,55125.0,1958.0,1147.0,1661.0,14957.306532663317,1246.4422110552764,21863.069915421052
484530024111,11040.035688524518,796.0,5488.619999999999,1884.559603667751,1329.0,1.7,1.6695979899497488,118.64357599767052,44000.0,2755.0,1205.0,1188.0,14433.859296482413,1202.821608040201,21925.682476147835
484530024112,8365.357350103583,659.0,5488.619999999999,1427.9858305745463,1389.0,1.7,2.1077389984825494,0.0,41250.0,2492.0,1157.0,1173.0,13990.634294385432,1165.886191198786,20907.24012495998
484530024113,12602.883441563616,530.0,5488.619999999999,2151.341326585716,1184.0,1.7,2.233962264150944,88.04643801895939,41667.0,2172.0,1177.0,1175.0,14109.328301886791,1175.777358490566,21837.336066491465
484530024121,5859.2701342310775,354.0,5488.619999999999,1000.1909516856438,700.0,1.7,1.9774011299435028,163.20687596196666,55250.0,1271.0,1778.0,1100.0,16279.728813559324,1356.6440677966102,22931.746641206933
484530024122,8037.364755014037,517.0,5488.619999999999,1371.996736657901,1104.0,1.7,2.135396518375242,68.76980698174225,71274.0,2337.0,1613.0,1358.0,17343.620889748545,1445.301740812379,24273.007433388186
484530024123,10897.155515830424,611.0,5488.619999999999,1860.1696280171968,1158.0,1.7,1.895253682487725,65.46356626146618,49279.0,2557.0,1193.0,1132.0,13894.29132569558,1157.8576104746317,21308.544519974243
484530024131,10960.17667953082,313.0,3691.95,1991.2013961250557,438.0,1.5,1.3993610223642172,102.94186462432722,32212.0,1079.0,1157.0,0.0,11133.814696485622,927.817891373802,16919.907957235006
484530024132,15141.388398887404,666.0,3691.95,2750.8273452784297,1037.0,1.5,1.557057057057057,155.14832439419806,29821.0,2585.0,1042.0,1039.0,12496.270270270272,1041.355855855856,19094.1959399429
484530024133,16557.87929684036,395.0,5488.619999999999,2826.4682584012853,822.0,1.7,2.081012658227848,16.876894086816808,63125.0,1381.0,1148.0,961.0,12571.625316455698,1047.6354430379747,20903.5904689438
484530024191,8105.615725458993,1022.0,3691.95,1472.596092281066,0.0,1.5,0.0,159.8103155823578,41301.0,2668.0,1038.0,0.0,12297.557729941293,1024.7964774951076,17621.914137804717
484530024192,4536.348139624123,1054.0,3691.95,824.1457243840274,1235.0,1.5,1.1717267552182162,125.44250577970018,37388.0,2277.0,1108.0,0.0,13296.0,1108.0,17937.53823016373
484530024211,13220.242390872616,3004.0,3691.95,2401.8011639337983,4531.0,1.5,1.5083222370173102,45.49289276564551,59579.0,6780.0,1265.0,2179.0,17155.262316910783,1429.6051930758988,23294.506373610227
484530024212,14595.399275548312,922.0,9040.395,2651.634208484176,1717.0,2.1,1.8622559652928417,36.15169828792104,84200.0,2671.0,2147.0,1604.0,20067.800433839475,1672.3167028199566,31795.98134061157
484530024213,18860.69043832832,837.0,2398.78,3633.507312726578,1214.0,1.0,1.4504181600955794,14.601773159541825,60561.0,1529.0,1208.0,1574.0,16594.924731182793,1382.9103942652328,22641.813817068913
