geoid,county,rent_cost,housing_mortgage,medincome,commuter,pop_housing,totpop,HHsize,HH,HousingUnits,OwnerUnits,RentalUnits,vehicle,public_transit,drivealone
484530008021,453,0,1813,97955,958,1520,1520,3.04,500,542,316,184,928.0,10,740
484530008022,453,272,1871,21585,374,1090,1113,2.35,464,488,73,391,312.0,53,278
484530008023,453,380,1386,0,418,1159,1159,3.3,351,351,70,281,416.0,34,245
484530008031,453,1822,2388,102237,917,1225,1225,2.53,484,518,276,208,836.0,71,680
484530008032,453,1216,1970,86250,578,694,793,2.2,315,400,128,187,474.0,62,365
484530008033,453,1083,2829,96316,637,923,923,3.0,308,374,162,146,591.0,0,374
484530008041,453,0,2417,42750,661,1138,1138,2.62,434,509,223,211,589.0,79,361
484530008042,453,522,1768,0,726,1520,1520,2.57,591,632,217,374,761.0,26,446
484530009011,453,1758,2357,73672,536,797,797,2.21,360,419,241,119,646.0,7,324
484530009012,453,1807,3174,103843,1198,1455,1807,2.02,719,848,97,622,941.0,28,747
484530009021,453,2644,1807,61300,487,998,1021,2.64,378,423,304,74,681.0,40,306
484530009022,453,1176,2230,0,1345,2014,2014,1.9,1059,1131,306,753,1247.0,0,764
484530009023,453,890,0,38750,447,997,1004,2.67,374,497,132,242,519.0,0,275
484530009024,453,1626,2190,80250,895,1542,1542,1.65,935,1129,158,777,894.0,23,612
484530010001,453,1417,3080,59097,319,535,535,2.37,226,281,180,46,352.0,0,203
484530010002,453,1656,2469,96563,373,631,684,2.25,280,326,210,70,576.0,0,259
484530010003,453,2246,2790,105972,851,1275,1275,3.13,407,407,201,206,831.0,37,443
484530010004,453,1313,3000,56852,242,450,450,2.37,190,246,126,64,281.0,28,160
484530010005,453,620,3142,26356,276,589,589,1.48,398,475,100,298,367.0,8,227
484530011001,453,2409,2969,114115,3959,4400,4992,1.38,3181,3981,1084,2097,3809.0,159,1988
484530011002,453,2208,2671,163675,1864,2418,2418,1.71,1411,1734,473,938,1890.0,0,1304
484530012001,453,721,4001,37564,685,1074,1074,1.8,598,616,161,437,733.0,178,369
484530012002,453,2219,3669,120469,3117,3974,3974,1.7,2331,2941,544,1787,3116.0,56,1590
484530012003,453,1193,3270,64180,570,809,809,1.35,600,652,179,421,756.0,0,318
484530013031,453,1903,2565,87436,1274,1833,1833,1.63,1122,1515,441,681,1590.0,47,802
484530013032,453,1678,3000,76681,1685,2378,2438,1.57,1517,1872,365,1152,1829.0,44,1065
484530013033,453,2161,3069,107765,525,822,822,2.12,387,431,345,42,758.0,0,317
484530013041,453,1605,3113,83266,1193,1444,1444,1.82,795,806,342,453,1247.0,72,818
484530013042,453,1582,3438,135938,854,1354,1363,2.35,576,595,469,107,1016.0,18,563
484530013043,453,1469,3114,115847,507,933,933,2.25,414,442,240,174,578.0,0,306
484530013044,453,1420,3058,112500,623,853,853,2.0,426,446,227,199,862.0,21,335
484530013051,453,1598,4001,80799,1099,1322,1322,1.55,851,912,81,770,1133.0,75,751
484530013052,453,1168,3039,66544,895,1762,1762,2.43,725,846,403,322,944.0,22,606
484530013053,453,1441,2769,61538,874,1253,1288,1.58,792,915,433,359,1092.0,0,538
484530013054,453,1843,2807,114762,950,1272,1272,2.11,602,724,404,198,1113.0,64,684
484530013071,453,1085,2089,45781,630,849,869,1.5,567,600,157,410,730.0,23,487
484530013072,453,1181,2513,84712,494,661,667,2.07,319,342,217,102,584.0,41,295
484530013073,453,1259,3014,65938,1210,2190,2190,2.13,1029,1188,413,616,1356.0,59,855
484530013081,453,1867,2232,64375,238,510,510,2.04,250,250,180,70,430.0,0,141
484530013082,453,1078,1738,46471,434,585,585,2.22,264,289,101,163,374.0,0,348
484530013083,453,1559,2180,63723,1069,1283,1283,1.72,748,766,83,665,1081.0,82,795
484530013084,453,1216,2639,72643,525,676,676,1.67,404,443,170,234,620.0,15,355
484530014011,453,1830,2288,82679,1559,1871,1871,1.65,1131,1312,250,881,1652.0,60,1087
484530014012,453,1533,3518,85700,846,1196,1302,2.14,558,616,299,259,920.0,41,532
484530014021,453,2719,4001,146563,453,833,833,2.24,372,428,272,100,612.0,0,302
484530014022,453,1245,3047,119471,468,753,753,1.89,399,423,330,69,755.0,0,322
484530014023,453,1286,2737,75500,696,928,928,1.71,544,693,192,352,712.0,12,476
484530014031,453,1154,2214,64728,562,875,875,2.11,415,448,103,312,598.0,55,413
484530014032,453,1464,1747,58281,620,928,928,2.39,389,429,184,205,647.0,7,524
484530015011,453,1343,1461,88221,1006,1314,1333,1.95,675,753,334,341,981.0,116,760
484530015012,453,2667,3063,125540,876,1764,1764,2.94,601,662,474,127,1129.0,9,659
484530015013,453,0,3040,130597,515,1082,1093,2.41,449,449,408,41,,0,386
484530015014,453,1793,2905,117431,782,1392,1392,2.35,592,686,461,131,1113.0,13,579
484530015031,453,1582,2321,61523,1110,1488,1488,2.13,699,772,200,499,917.0,138,703
484530015032,453,1081,0,52813,550,669,669,2.43,275,350,12,263,,59,400
484530015033,453,1188,2172,68000,916,1331,1331,2.12,628,654,245,383,1078.0,46,664
484530015034,453,2083,1417,77750,627,902,902,2.42,372,408,237,135,730.0,36,463
484530015041,453,1415,2491,91596,1932,2527,2527,2.08,1212,1409,294,918,1800.0,164,1448
